job title,company,location,date,job type and skills,link to apply
Data Analysis Instructor (Excel - Power BI - Tableau),EpsilonAI,"Nasr City, Cairo, Egypt ",14 days ago,Full timePart timeEntry Level · 1+ Yrs of Exp · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL · Tableau · BI · Data,https://wuzzuf.net/jobs/p/fXC3ifPeMJGA-Data-Analysis-Instructor-Excel---Power-BI---Tableau-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,Talaat Moustafa Group,"Dokki, Giza, Egypt ",8 days ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Data · Data Analysis · Analysis · Computer Science · Database · excel · Information Technology (IT) · Reporting · SQL · Statistics,https://wuzzuf.net/jobs/p/4DGoxn6t43XE-Data-Analyst-Talaat-Moustafa-Group-Giza-Egypt?o=2&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,BEAUTY STAR,"Mohandessin, Giza, Egypt ",12 days ago,Full timeExperienced · 2 - 7 Yrs of Exp · Analysis · Data Analysis · Microsoft Office · Reporting · Data · Communication · Analyst/Research,https://wuzzuf.net/jobs/p/gHDIQhnptYl3-Data-Analyst-BEAUTY-STAR-Giza-Egypt?o=3&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data/Data Mining Specialist,Talaat Moustafa Group,"Dokki, Giza, Egypt ",12 days ago,Full timeExperienced · 2 - 5 Yrs of Exp · Data Analysis · Data Mining · Research · computer · Computer Science · Customer Service · Data Entry · Microsoft Office · Troubleshooting · Project Management,https://wuzzuf.net/jobs/p/gLkxzfOtJnAI-DataData-Mining-Specialist-Talaat-Moustafa-Group-Giza-Egypt?o=4&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,Town Team,"Tanta, Gharbia, Egypt ",21 days ago,Full timeExperienced · 3+ Yrs of Exp · Analysis · Business Intelligence · Data Analysis · Management · Computer Science · Information Technology (IT) · Power BI · Python · SQL · BI,https://wuzzuf.net/jobs/p/dQOW4mGL8poU-Data-Analyst-Town-Team-Gharbia-Egypt?o=5&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Engineer - For KSA,Confidential -,"Nasr City, Cairo, Egypt ",20 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Engineering · Computer Science · Data Analysis · Analysis · Data · Information Technology (IT) · Database · Computer Engineering · Research · Maintenance,https://wuzzuf.net/jobs/p/mbxDVguyKlJi-Data-Engineer---For-KSA-Cairo-Egypt?o=6&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Data Analyst,Evolvice GmbH,"Maadi, Cairo, Egypt ",19 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Analysis · Analyst · Data Analysis · Data Analyst · English · Computer Science · Information Technology (IT) · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/p1IHeCTyJsIT-Senior-Data-Analyst-Evolvice-GmbH-Cairo-Egypt?o=7&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,Expand Cart,"6th of October, Giza, Egypt ",25 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · Analysis · Analyst · Communication · Computer Science · Data · Data Analysis · Information Technology (IT) · Software · Data Analyst · Communication skills,https://wuzzuf.net/jobs/p/cYsmUn9kdr5c-Data-Analyst-Expand-Cart-Giza-Egypt?o=8&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Sales Data Analyst Specialist,Masary,"Cairo, Egypt ",26 days ago,Full timeExperienced · 2 - 3 Yrs of Exp · Microsoft Access · Data Analysis · Communication · Data · Sales · Analysis · Computer Science · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/MEwOsbOpEray-Sales-Data-Analyst-Specialist-Masary-Cairo-Egypt?o=9&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Engineer,Confidential -,"Riyadh, Saudi Arabia ",27 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · Software Development · Computer Engineering · Analysis · Database · Engineering · Information Technology (IT) · Computer Science · Data Analysis · Maintenance · Research,https://wuzzuf.net/jobs/p/RtBTsdEH2z5R-Data-Engineer-Riyadh-Saudi-Arabia?o=10&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
